日期,造船板价格,城市
2011/9/7,5000,上海
2011/9/8,5000,上海
2011/9/9,5000,上海
2011/9/13,5000,上海
2011/9/14,5000,上海
2011/9/15,5000,上海
2011/9/16,5000,上海
2011/9/19,5000,上海
2011/9/20,4980,上海
2011/9/21,4980,上海
2011/9/22,4980,上海
2011/9/23,4950,上海
2011/9/26,4950,上海
2011/9/27,4950,上海
2011/9/28,4950,上海
2011/9/29,4900,上海
2011/9/30,4900,上海
2011/10/8,4900,上海
2011/10/9,4900,上海
2011/10/10,4900,上海
2011/10/11,4900,上海
2011/10/12,4850,上海
2011/10/13,4850,上海
2011/10/14,4850,上海
2011/10/17,4850,上海
2011/10/18,4800,上海
2011/10/19,4800,上海
2011/10/20,4750,上海
2011/10/21,4700,上海
2011/10/24,4700,上海
2011/10/25,4700,上海
2011/10/26,4700,上海
2011/10/27,4700,上海
2011/10/28,4600,上海
2011/10/31,4600,上海
2011/11/1,4600,上海
2011/11/2,4600,上海
2011/11/3,4600,上海
2011/11/4,4600,上海
2011/11/7,4600,上海
2011/11/8,4600,上海
2011/11/9,4600,上海
2011/11/10,4550,上海
2011/11/11,4550,上海
2011/11/14,4550,上海
2011/11/15,4550,上海
2011/11/16,4550,上海
2011/11/17,4550,上海
2011/11/18,4550,上海
2011/11/21,4550,上海
2011/11/22,4550,上海
2011/11/23,4550,上海
2011/11/24,4550,上海
2011/11/25,4500,上海
2011/11/28,4500,上海
2011/11/29,4500,上海
2011/11/30,4500,上海
2011/12/1,4500,上海
2011/12/2,4500,上海
2011/12/5,4500,上海
2011/12/6,4500,上海
2011/12/7,4500,上海
2011/12/8,4500,上海
2011/12/9,4500,上海
2011/12/12,4450,上海
2011/12/13,4450,上海
2011/12/14,4450,上海
2011/12/15,4450,上海
2011/12/16,4450,上海
2011/12/19,4400,上海
2011/12/20,4400,上海
2011/12/21,4400,上海
2011/12/22,4400,上海
2011/12/23,4400,上海
2011/12/26,4400,上海
2011/12/27,4400,上海
2011/12/28,4400,上海
2011/12/29,4400,上海
2011/12/30,4350,上海
2011/12/31,4350,上海
2012/1/4,4350,上海
2012/1/5,4350,上海
2012/1/6,4350,上海
2012/1/9,4350,上海
2012/1/10,4350,上海
2012/1/11,4350,上海
2012/1/12,4350,上海
2012/1/13,4350,上海
2012/1/16,4350,上海
2012/1/17,4350,上海
2012/1/18,4350,上海
2012/1/19,4350,上海
2012/1/20,4350,上海
2012/1/21,4350,上海
2012/1/29,4350,上海
2012/1/30,4350,上海
2012/1/31,4350,上海
2012/2/1,4400,上海
2012/2/2,4400,上海
2012/2/3,4400,上海
2012/2/6,4400,上海
